彗星来的那一夜,2013,8.5,516363
崖上的波妞,2008,8.6,442973
战争之王,2005,8.7,336127
爱乐之城,2016,8.4,805696
谍影重重2,2004,8.7,326725
燃情岁月,1994,8.8,267474
末路狂花,1991,8.9,217243
阿飞正传,1990,8.5,467848
火星救援,2015,8.5,658756
谍影重重,2002,8.6,392994
再次出发之纽约遇见你,2013,8.6,397820
海洋,2009,9.1,150272
朗读者,2008,8.6,430000
穿越时空的少女,2006,8.6,357313
千年女优,2001,8.8,232917
香水,2006,8.5,511523
地球上的星星,2007,8.9,190924
我爱你,2011,9.1,153400
完美陌生人,2016,8.5,493291
弱点,2009,8.7,265371
驴得水,2016,8.3,858411
浪潮,2008,8.7,257983
